"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"CD27",0,-2.10940738975883,0.086,0.41,0,"CD27"
"CLEC12A",0,3.16964366361127,0.501,0.178,0,"CLEC12A"
"CCR7",0,-2.24682858011476,0.12,0.437,0,"CCR7"
"LEF1",0,-2.79844394757349,0.061,0.374,0,"LEF1"
"STEAP4",0,4.83521282723198,0.378,0.067,0,"STEAP4"
"RNF125",0,-1.67408262840756,0.145,0.455,0,"RNF125"
"TMSB10",0,-0.82863471663193,0.677,0.986,0,"TMSB10"
"RPL34",0,-1.11108926836121,0.675,0.982,0,"RPL34"
"PTPN4",0,-1.9040085742709,0.122,0.427,0,"PTPN4"
"RPL30",0,-1.21920689079468,0.678,0.983,0,"RPL30"
"IFI27",0,7.74044124604293,0.306,0.007,0,"IFI27"
"GZMA",0,-2.95486103171008,0.05,0.347,0,"GZMA"
"CAMK4",0,-2.72375912000628,0.058,0.355,0,"CAMK4"
"RPS9",0,-0.874122124761438,0.683,0.979,0,"RPS9"
"RPS27",0,-1.22719592857216,0.695,0.99,0,"RPS27"
"EEF1A1",0,-1.31361392386949,0.691,0.986,0,"EEF1A1"
"RPL37",0,-0.902702574052465,0.686,0.981,0,"RPL37"
"TC2N",0,-2.14147938887802,0.069,0.362,0,"TC2N"
"RPLP1",0,-0.861288244465586,0.698,0.987,0,"RPLP1"
"PRKCH",0,-2.23066732966102,0.083,0.37,0,"PRKCH"
"TXK",0,-2.36893023923834,0.067,0.352,0,"TXK"
"CXCR2",0,5.23750652682571,0.324,0.041,0,"CXCR2"
"GNLY",0,-3.95804064964021,0.043,0.324,0,"GNLY"
"MT-CO1",0,-1.05493426678776,0.716,0.997,0,"MT-CO1"
"CTSW",0,-2.62884795343918,0.056,0.336,0,"CTSW"
"MT-CYB",0,-1.13502928558053,0.72,0.997,0,"MT-CYB"
"RPL39",0,-0.76693913247254,0.712,0.983,0,"RPL39"
"PRF1",0,-2.94076319051412,0.053,0.324,0,"PRF1"
"FAU",0,-0.622832246975017,0.716,0.983,0,"FAU"
"SAT1",0,2.35515942546073,0.849,0.583,0,"SAT1"
"TMEM154",0,3.14057510569729,0.598,0.332,0,"TMEM154"
"UBA52",0,-0.80873828820136,0.716,0.98,0,"UBA52"
"SOD2",0,3.19598994139582,0.599,0.336,0,"SOD2"
"HBB",0,8.10784451235701,0.254,0.002,0,"HBB"
"RPL41",0,-0.703299774176442,0.747,0.985,0,"RPL41"
"RPL28",0,-0.915470034684468,0.757,0.982,0,"RPL28"
"MT-ND4",0,-1.05162547835484,0.79,0.998,0,"MT-ND4"
"MT-CO3",0,-0.811731482263059,0.791,0.998,0,"MT-CO3"
"TPT1",0,-1.32664615146314,0.786,0.991,0,"TPT1"
"MT-ATP6",0,-1.27048540317478,0.806,0.998,0,"MT-ATP6"
"MT-CO2",0,-0.563594948265517,0.837,0.997,0,"MT-CO2"
"NEAT1",0,3.9079751179039,0.933,0.851,0,"NEAT1"
"SRGN",0,2.62796146062834,0.787,0.719,0,"SRGN"
"TMSB4X",0,-0.283467875426913,0.932,0.995,0,"TMSB4X"
"RCAN3",9.88131291682493e-323,-1.87712416020737,0.133,0.439,1.97537326520247e-318,"RCAN3"
"PRKACB",1.58101006669199e-322,-1.69793281511161,0.145,0.457,3.16059722432396e-318,"PRKACB"
"APOBEC3A",1.70946713461071e-321,3.74277196340191,0.404,0.11,3.41739574880028e-317,"APOBEC3A"
"IKZF1",1.39721764643905e-320,-0.574311266161407,0.496,0.889,2.7931777969963e-316,"IKZF1"
"PSIP1",2.97328705667262e-320,-0.877881998347654,0.273,0.636,5.94389815499424e-316,"PSIP1"
"HLA-B",2.56894373211615e-319,0.786303232513386,0.938,0.992,5.13557541487339e-315,"HLA-B"
"ABHD17A",8.44872017014365e-319,-1.13427099263861,0.298,0.639,1.68898364921342e-314,"ABHD17A"
"HMGN1",9.91372362319212e-319,-0.735635860497594,0.379,0.765,1.98185248951234e-314,"HMGN1"
"RASGRP1",1.97949377268879e-318,-1.95009330178782,0.097,0.392,3.95720600098216e-314,"RASGRP1"
"EEF1D",1.16083095005501e-317,-0.719725101640059,0.579,0.96,2.32061715225497e-313,"EEF1D"
"RSL1D1",1.49798322422653e-316,-1.28535842729075,0.281,0.62,2.99461826355126e-312,"RSL1D1"
"NAP1L4",3.88694062019903e-316,-1.00539734386874,0.256,0.6,7.77038299383989e-312,"NAP1L4"
"CYP4F3",7.1510380756602e-316,5.55722502111638,0.262,0.011,1.42956402170523e-311,"CYP4F3"
"IFI44L",2.33563742633949e-315,3.14943238428564,0.505,0.225,4.66917277899527e-311,"IFI44L"
"MT-ND3",2.67949220100116e-312,-0.588723365800822,0.818,0.998,5.35657285902142e-308,"MT-ND3"
"SUN2",1.70615455914522e-309,-1.13672575656037,0.25,0.585,3.41077357918721e-305,"SUN2"
"SSB",2.96062439765789e-308,-1.19037469826367,0.282,0.625,5.91858423335788e-304,"SSB"
"SEPT9",3.55310620425784e-308,-0.944278986802861,0.301,0.657,7.10301461293185e-304,"SEPT9"
"CHCHD2",3.09726075718348e-307,-0.696603566508336,0.482,0.897,6.1917339796855e-303,"CHCHD2"
