"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"CCDC125",2.1046760289756e-15,2.42469438644594,0.117,0.077,4.20745784952511e-11,"CCDC125"
"KPNA1",2.21905615274698e-15,0.552525396640771,0.155,0.216,4.4361151549565e-11,"KPNA1"
"SMAD4",2.28187004504414e-15,0.678206217273045,0.166,0.228,4.56168640704774e-11,"SMAD4"
"ASB8",2.40111083586711e-15,0.729657210918806,0.199,0.267,4.80006067198194e-11,"ASB8"
"VPS13D",2.40287625735211e-15,0.529166193973468,0.155,0.214,4.8035899260726e-11,"VPS13D"
"RBBP5",2.44519424722576e-15,0.644426373932758,0.111,0.162,4.88818781962902e-11,"RBBP5"
"HACD2",2.52324461287318e-15,-0.505296742827643,0.079,0.121,5.04421830559478e-11,"HACD2"
"PAN3",2.65437747485342e-15,0.74432034920686,0.197,0.266,5.30636600997947e-11,"PAN3"
"CTNNB1",2.71916119304898e-15,0.642890057680042,0.275,0.364,5.43587514102421e-11,"CTNNB1"
"CNOT1",2.82135764313356e-15,0.515489973490349,0.266,0.35,5.64017606438831e-11,"CNOT1"
"PDCD11",2.9144836482448e-15,-0.500018677571998,0.084,0.126,5.82634426120618e-11,"PDCD11"
"GSR",3.01903994184453e-15,1.56841118858689,0.205,0.157,6.0353627477414e-11,"GSR"
"AP3B1",3.05062726434094e-15,0.577408629339293,0.246,0.323,6.09850896414398e-11,"AP3B1"
"CNOT8",3.18664244468318e-15,0.512793635553006,0.185,0.248,6.37041691116614e-11,"CNOT8"
"POLR2J3.1",3.23460387637573e-15,0.643768993828837,0.413,0.552,6.46629660926273e-11,"POLR2J3.1"
"KIF5B",3.43025380681019e-15,0.578532159219106,0.356,0.468,6.85742038519425e-11,"KIF5B"
"PRRC2A",3.65344554190002e-15,0.556381666236017,0.178,0.241,7.30360298281234e-11,"PRRC2A"
"TUBA4A",3.91711927764221e-15,0.964534070042822,0.302,0.41,7.83071314793454e-11,"TUBA4A"
"AKIRIN2",3.98014487071506e-15,0.644189042143413,0.251,0.331,7.95670761104648e-11,"AKIRIN2"
